t,leader_q1_target,leader_ee_x,leader_ee_y,leader_ee_z,follower_ee_x,follower_ee_y,follower_ee_z,mid_x,mid_y,mid_z,cable_span,cable_sag
0.016667,-0.011645,-0.271166,-0.023903,0.843349,0.272497,0.015811,0.843953,0.007182,-0.000845,0.823156,0.545112,-0.020495
0.033333,-0.011645,-0.261308,-0.023362,0.847259,0.266129,0.020049,0.848672,0.005953,0.001368,0.832337,0.529222,-0.015628
0.050000,-0.011645,-0.257381,-0.018919,0.846670,0.265139,0.017862,0.848556,0.003988,-0.003348,0.804700,0.523816,-0.042913
0.066667,-0.011645,-0.254548,-0.015766,0.846309,0.263894,0.015331,0.848392,0.006070,-0.004463,0.774348,0.519377,-0.073002
0.083333,-0.011645,-0.252568,-0.013518,0.846119,0.262566,0.013132,0.848208,0.007122,0.000251,0.747826,0.515827,-0.099337
0.100000,-0.011645,-0.251042,-0.011951,0.846147,0.261195,0.011332,0.848015,0.009346,0.001753,0.726388,0.512769,-0.120693
0.116667,-0.011645,-0.250267,-0.010773,0.846011,0.259783,0.009880,0.847820,0.011252,0.004148,0.713576,0.510471,-0.133339
0.133333,-0.011645,-0.249816,-0.009901,0.845886,0.258343,0.008719,0.847630,0.010890,0.006013,0.711236,0.508503,-0.135522
0.150000,-0.011645,-0.248691,-0.009314,0.846347,0.256898,0.007786,0.847450,0.009948,0.005593,0.709779,0.505880,-0.137119
0.166667,-0.011645,-0.247668,-0.008870,0.846818,0.255601,0.007035,0.847191,0.009421,0.005080,0.706565,0.503520,-0.140439
0.183333,-0.011645,-0.247027,-0.008572,0.847114,0.254383,0.006437,0.846913,0.008605,0.005494,0.702799,0.501635,-0.144214
0.200000,-0.011645,-0.246659,-0.008348,0.847272,0.253221,0.005962,0.846643,0.007810,0.005659,0.703225,0.500085,-0.143732
0.216667,-0.011645,-0.246083,-0.008194,0.847601,0.252128,0.005581,0.846388,0.007265,0.005386,0.702966,0.498404,-0.144028
0.233333,-0.011645,-0.245269,-0.008088,0.848102,0.251114,0.005275,0.846148,0.006995,0.004511,0.701698,0.496567,-0.145427
0.250000,-0.011645,-0.244801,-0.008005,0.848383,0.250191,0.005030,0.845930,0.006863,0.003199,0.699709,0.495169,-0.147447
0.266667,-0.011645,-0.244198,-0.007967,0.848777,0.249364,0.004832,0.845736,0.006737,0.002371,0.697054,0.493737,-0.150202
0.283333,-0.011645,-0.243360,-0.007943,0.849330,0.248639,0.004672,0.845566,0.006606,0.002095,0.696058,0.492176,-0.151390
0.300000,-0.011645,-0.243006,-0.007906,0.849554,0.248018,0.004543,0.845422,0.006502,0.001916,0.696261,0.491199,-0.151227
0.316667,-0.011645,-0.242661,-0.007895,0.849785,0.247502,0.004436,0.845305,0.006427,0.001630,0.696257,0.490338,-0.151288
0.333333,-0.011645,-0.242223,-0.007887,0.850084,0.247086,0.004349,0.845214,0.006317,0.001325,0.695969,0.489486,-0.151680
0.350000,-0.011645,-0.241507,-0.007905,0.850580,0.246767,0.004277,0.845148,0.006244,0.001136,0.695212,0.488457,-0.152652
0.366667,-0.011645,-0.239986,-0.007956,0.851642,0.246540,0.004218,0.845107,0.006224,0.001106,0.694357,0.486722,-0.154017
0.383333,-0.011645,-0.237843,-0.008039,0.853162,0.246399,0.004168,0.845088,0.006237,0.001088,0.693900,0.484463,-0.155225
0.400000,-0.011645,-0.235568,-0.007928,0.854790,0.246334,0.004126,0.845089,0.006396,0.000958,0.693562,0.482151,-0.156378
0.416667,-0.011645,-0.233007,-0.007623,0.856661,0.246338,0.004089,0.845108,0.006712,0.000682,0.693260,0.479628,-0.157625
0.433333,-0.011645,-0.230659,-0.007162,0.858413,0.246402,0.004058,0.845143,0.007188,0.000351,0.692853,0.477377,-0.158925
0.450000,-0.011645,-0.228679,-0.006798,0.859938,0.246516,0.004030,0.845191,0.007818,0.000036,0.692398,0.475548,-0.160166
0.466667,-0.011645,-0.227292,-0.006316,0.861003,0.246673,0.004005,0.845249,0.008575,-0.000173,0.692050,0.474339,-0.161076
0.483333,-0.011645,-0.226083,-0.005895,0.861964,0.246862,0.003984,0.845315,0.009303,-0.000364,0.691992,0.473341,-0.161647
0.500000,-0.011645,-0.225576,-0.005830,0.862394,0.247076,0.003964,0.845388,0.010024,-0.000538,0.691987,0.473060,-0.161904
0.516667,-0.011645,-0.225305,-0.006086,0.862657,0.247307,0.003946,0.845463,0.010632,-0.000630,0.692104,0.473031,-0.161956
0.533333,-0.011645,-0.225044,-0.006213,0.862894,0.247548,0.003931,0.845541,0.011080,-0.000595,0.692259,0.473020,-0.161959
0.550000,-0.011645,-0.224804,-0.006243,0.863103,0.247792,0.003917,0.845618,0.011382,-0.000573,0.692377,0.473028,-0.161984
0.566667,-0.011645,-0.224589,-0.006214,0.863284,0.248033,0.003904,0.845694,0.011570,-0.000614,0.692484,0.473057,-0.162005
0.583333,-0.011645,-0.224400,-0.006154,0.863440,0.248265,0.003894,0.845766,0.011668,-0.000697,0.692620,0.473103,-0.161983
0.600000,-0.011645,-0.224237,-0.006079,0.863572,0.248485,0.003884,0.845834,0.011712,-0.000756,0.692778,0.473160,-0.161926
0.616667,-0.011645,-0.224097,-0.005999,0.863685,0.248689,0.003876,0.845898,0.011740,-0.000782,0.692947,0.473224,-0.161844
0.633333,-0.011645,-0.223986,-0.005929,0.863773,0.248875,0.003870,0.845955,0.011771,-0.000800,0.693087,0.473298,-0.161777
0.650000,-0.011645,-0.223927,-0.005898,0.863821,0.249039,0.003864,0.846006,0.011818,-0.000837,0.693198,0.473403,-0.161716
0.666667,-0.011645,-0.223896,-0.005891,0.863847,0.249182,0.003860,0.846051,0.011886,-0.000882,0.693284,0.473513,-0.161665
0.683333,-0.011645,-0.223874,-0.005887,0.863864,0.249303,0.003856,0.846088,0.011968,-0.000915,0.693362,0.473611,-0.161614
0.700000,-0.011645,-0.223858,-0.005884,0.863877,0.249400,0.003854,0.846120,0.012055,-0.000931,0.693429,0.473692,-0.161569
0.716667,-0.011645,-0.223847,-0.005882,0.863886,0.249476,0.003852,0.846145,0.012144,-0.000939,0.693478,0.473756,-0.161537
0.733333,-0.011645,-0.223838,-0.005880,0.863892,0.249531,0.003851,0.846164,0.012225,-0.000948,0.693500,0.473801,-0.161528
0.750000,-0.011645,-0.223833,-0.005879,0.863897,0.249565,0.003850,0.846177,0.012289,-0.000959,0.693502,0.473830,-0.161535
0.766667,-0.011645,-0.223828,-0.005878,0.863900,0.249582,0.003851,0.846185,0.012330,-0.000967,0.693500,0.473841,-0.161543
0.783333,-0.011645,-0.223825,-0.005877,0.863903,0.249581,0.003851,0.846188,0.012349,-0.000970,0.693493,0.473837,-0.161553
0.800000,-0.011645,-0.223822,-0.005876,0.863905,0.249567,0.003852,0.846187,0.012353,-0.000972,0.693481,0.473821,-0.161564
0.816667,-0.011645,-0.223821,-0.005876,0.863906,0.249539,0.003853,0.846182,0.012342,-0.000975,0.693475,0.473792,-0.161569
0.833333,-0.011645,-0.223819,-0.005876,0.863907,0.249501,0.003854,0.846174,0.012319,-0.000981,0.693441,0.473752,-0.161600
0.850000,-0.011645,-0.223818,-0.005876,0.863908,0.249454,0.003856,0.846164,0.012289,-0.000988,0.693403,0.473705,-0.161633
0.866667,-0.011645,-0.223818,-0.005875,0.863908,0.249401,0.003858,0.846152,0.012251,-0.000994,0.693369,0.473652,-0.161661
0.883333,-0.011645,-0.223817,-0.005875,0.863908,0.249343,0.003860,0.846138,0.012208,-0.000999,0.693330,0.473594,-0.161694
0.900000,-0.011645,-0.223817,-0.005875,0.863909,0.249282,0.003861,0.846123,0.012162,-0.001003,0.693298,0.473533,-0.161718
0.916667,-0.011645,-0.223817,-0.005875,0.863909,0.249220,0.003863,0.846108,0.012116,-0.001007,0.693254,0.473472,-0.161755
0.933333,-0.011645,-0.223817,-0.005876,0.863909,0.249158,0.003864,0.846093,0.012073,-0.001011,0.693211,0.473410,-0.161790
0.950000,-0.011645,-0.223817,-0.005876,0.863909,0.249097,0.003866,0.846078,0.012029,-0.001014,0.693165,0.473350,-0.161828
0.966667,-0.011645,-0.223817,-0.005876,0.863909,0.249039,0.003867,0.846064,0.011990,-0.001016,0.693129,0.473293,-0.161858
0.983333,-0.011645,-0.223817,-0.005875,0.863909,0.248985,0.003868,0.846051,0.011954,-0.001017,0.693097,0.473239,-0.161884
1.000000,-0.011645,-0.223817,-0.005875,0.863909,0.248935,0.003869,0.846039,0.011922,-0.001018,0.693066,0.473189,-0.161908
