t,cap1_x,cap2_x,cap3_x,cap4_x,cap5_x,cap1_y,cap2_y,cap3_y,cap4_y,cap5_y,cap1_z,cap2_z,cap3_z,cap4_z,cap5_z
0.016666666666666666,6.581731577171013e-05,-0.00021220029157120734,-5.5370182963088155e-05,0.002729775384068489,0.004999028518795967,0.0,0.0,0.0,0.0,0.0,1.874956488609314,1.7916247844696045,1.708251953125,1.6249829530715942,1.5416666269302368
0.03333333333333333,-3.581455166568048e-05,-0.00046370900236070156,0.0009127101511694491,0.003773024771362543,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8749662637710571,1.7916333675384521,1.7082993984222412,1.6250159740447998,1.5416666269302368
0.05,-0.00030546009656973183,-0.00027420170954428613,0.0020292350091040134,0.004440332297235727,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8749680519104004,1.7916399240493774,1.7083171606063843,1.6250293254852295,1.5416666269302368
0.06666666666666667,-0.0005301147466525435,0.00035759148886427283,0.003027776489034295,0.00478265481069684,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8749701976776123,1.7916544675827026,1.7083337306976318,1.6250303983688354,1.5416666269302368
0.08333333333333333,-0.0005360319628380239,0.0012333652703091502,0.0037987488321959972,0.0049406858161091805,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8749768733978271,1.791669249534607,1.7083492279052734,1.6250290870666504,1.5416666269302368
0.1,-0.0002359838254051283,0.0021305109839886427,0.004340231418609619,0.0050121177919209,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8749842643737793,1.791687250137329,1.7083580493927002,1.6250298023223877,1.5416666269302368
0.11666666666666667,0.0003815608797594905,0.0028974160086363554,0.00468215299770236,0.005048115737736225,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8749926090240479,1.7916961908340454,1.7083600759506226,1.625026822090149,1.5416666269302368
0.13333333333333333,0.0012314008781686425,0.003499341895803809,0.004875977989286184,0.005071541760116816,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8749949932098389,1.7916910648345947,1.7083531618118286,1.62502121925354,1.5416666269302368
0.15,0.0021812424529343843,0.003994406666606665,0.0049794078804552555,0.005083483178168535,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8750039339065552,1.791690707206726,1.7083491086959839,1.6250159740447998,1.5416666269302368
0.16666666666666666,0.0031242670956999063,0.004444430116564035,0.005034126341342926,0.005077410489320755,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8750215768814087,1.7916995286941528,1.7083508968353271,1.6250178813934326,1.5416666269302368
0.18333333333333332,0.003969527781009674,0.004875470884144306,0.00506916968151927,0.00505049666389823,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8750436305999756,1.7917169332504272,1.7083580493927002,1.6250249147415161,1.5416666269302368
0.2,0.004605080466717482,0.0052780527621507645,0.005119525361806154,0.005013445392251015,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.875061273574829,1.7917340993881226,1.708367109298706,1.625033974647522,1.5416666269302368
0.21666666666666667,0.004919503349810839,0.005604775156825781,0.005226838402450085,0.004998910706490278,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.875069260597229,1.7917448282241821,1.7083709239959717,1.6250381469726562,1.5416666269302368
0.23333333333333334,0.004874234087765217,0.005785374902188778,0.005407556891441345,0.005045842844992876,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8750635385513306,1.791740894317627,1.708372712135315,1.6250401735305786,1.5416666269302368
0.25,0.004530561622232199,0.005772909615188837,0.005627106409519911,0.005162240471690893,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.87505042552948,1.791733741760254,1.7083650827407837,1.6250330209732056,1.5416666269302368
0.26666666666666666,0.0040004621259868145,0.005572187714278698,0.005817255936563015,0.00531340017914772,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.8750360012054443,1.7917184829711914,1.7083591222763062,1.6250271797180176,1.5416666269302368
0.2833333333333333,0.0033883163705468178,0.005221659317612648,0.005910584237426519,0.005446221213787794,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.875020146369934,1.791707158088684,1.7083535194396973,1.6250230073928833,1.5416666269302368
0.3,0.00277024507522583,0.00476455595344305,0.005858062766492367,0.005514138378202915,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.875006079673767,1.7916985750198364,1.7083511352539062,1.6250224113464355,1.5416666269302368
0.31666666666666665,0.0021973159164190292,0.004237208981066942,0.005634378641843796,0.005488191265612841,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,1.874997854232788,1.7916895151138306,1.7083497047424316,1.6250202655792236,1.5416666269302368
