t,cap2_x,cap4_x,cap5_x,cap7_x,cap8_x,cap9_x,cap2_y,cap4_y,cap5_y,cap7_y,cap8_y,cap9_y,cap2_z,cap4_z,cap5_z,cap7_z,cap8_z,cap9_z
0.016666666666666666,2.048262331300066e-06,2.483488424331881e-05,3.802140781772323e-05,0.0002621161984279752,0.0031522309873253107,0.004999028518795967,0.0,0.0,0.0,0.0,0.0,0.0,1.8749730587005615,1.7749420404434204,1.7249059677124023,1.624890685081482,1.57498037815094,1.524999976158142
0.03333333333333333,-1.609495848242659e-05,7.43171403883025e-05,-0.0003432213270571083,0.0016825494822114706,0.0041761999018490314,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.8749710321426392,1.774941086769104,1.7249133586883545,1.6249473094940186,1.5750164985656738,1.524999976158142
0.05,2.189798397012055e-05,-0.00018947097123600543,-0.0006256159394979477,0.002939916681498289,0.004653309006243944,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.874971866607666,1.774946928024292,1.72492253780365,1.6249849796295166,1.5750243663787842,1.524999976158142
0.06666666666666667,0.00012635871826205403,-0.000581720843911171,-0.0003969373065046966,0.003807582426816225,0.004863559268414974,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.8749741315841675,1.7749532461166382,1.724935531616211,1.6250075101852417,1.5750253200531006,1.524999976158142
0.08333333333333333,0.00012309744488447905,-0.0007421220070682466,0.0002837080101016909,0.004348055459558964,0.004960088059306145,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.8749756813049316,1.7749576568603516,1.7249540090560913,1.6250180006027222,1.575024962425232,1.524999976158142
0.1,-9.654630412114784e-05,-0.0005102030700072646,0.0011730785481631756,0.004671410657465458,0.005006616935133934,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.8749780654907227,1.7749650478363037,1.7249749898910522,1.6250206232070923,1.5750237703323364,1.524999976158142
0.11666666666666667,-0.00044243663433007896,5.234773925621994e-05,0.0020647027995437384,0.00486170407384634,0.005029643885791302,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.8749827146530151,1.7749778032302856,1.72499680519104,1.625022053718567,1.5750226974487305,1.524999976158142
0.13333333333333333,-0.0007321443408727646,0.0007937990012578666,0.0028440163005143404,0.004971224348992109,0.005039838142693043,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.8749847412109375,1.7749930620193481,1.7250134944915771,1.6250221729278564,1.5750224590301514,1.524999976158142
0.15,-0.0008410742739215493,0.0015780504327267408,0.003469470888376236,0.005034261383116245,0.005042762029916048,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.8749836683273315,1.7750056982040405,1.725021481513977,1.6250206232070923,1.5750207901000977,1.524999976158142
0.16666666666666666,-0.0007509974529966712,0.002325490117073059,0.003948892932385206,0.005073275417089462,0.005043428391218185,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.8749889135360718,1.7750210762023926,1.7250288724899292,1.6250194311141968,1.5750195980072021,1.524999976158142
0.18333333333333332,-0.0004936058539897203,0.002996779978275299,0.004310597199946642,0.0050969198346138,0.005044853780418634,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.8750022649765015,1.775041103363037,1.7250378131866455,1.62502121925354,1.5750211477279663,1.524999976158142
0.2,-9.370988846058026e-05,0.0035576762165874243,0.004583356902003288,0.005104663781821728,0.005045575089752674,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.875011682510376,1.7750557661056519,1.7250444889068604,1.6250230073928833,1.5750230550765991,1.524999976158142
0.21666666666666667,0.000435414636740461,0.0039770896546542645,0.004789688158780336,0.005097459070384502,0.005041023716330528,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.8750101327896118,1.7750539779663086,1.7250405550003052,1.62502121925354,1.5750212669372559,1.524999976158142
0.23333333333333334,0.0010746807092800736,0.0042528812773525715,0.004940313752740622,0.005084908567368984,0.005030151456594467,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.875004529953003,1.7750407457351685,1.7250311374664307,1.6250152587890625,1.5750153064727783,1.524999976158142
0.25,0.0017926926957443357,0.004417890682816505,0.005036463029682636,0.005080954637378454,0.005019010044634342,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.8750050067901611,1.775029182434082,1.7250219583511353,1.6250109672546387,1.5750110149383545,1.524999976158142
0.26666666666666666,0.002553289057686925,0.004518358502537012,0.005077878944575787,0.00509503111243248,0.005016242619603872,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.8750157356262207,1.775025486946106,1.7250192165374756,1.6250096559524536,1.5750097036361694,1.524999976158142
0.2833333333333333,0.003319455310702324,0.0045966110192239285,0.005067613907158375,0.005127586890012026,0.005027559120208025,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.8750364780426025,1.7750319242477417,1.725022792816162,1.6250113248825073,1.5750113725662231,1.524999976158142
