t,cap2_x,cap4_x,cap5_x,cap7_x,cap8_x,cap9_x,cap2_y,cap4_y,cap5_y,cap7_y,cap8_y,cap9_y,cap2_z,cap4_z,cap5_z,cap7_z,cap8_z,cap9_z
0.016666666666666666,-8.379636255995138e-07,5.382886592997238e-05,-2.0151681383140385e-05,0.00047770628589205444,0.003370614955201745,0.004999028518795967,0.0,0.0,0.0,0.0,0.0,0.0,1.8749747276306152,1.7749463319778442,1.724912166595459,1.6249085664749146,1.5749927759170532,1.524999976158142
0.03333333333333333,-1.1550630915735383e-05,2.0420934561116155e-06,-0.0005333026638254523,0.0020579451229423285,0.004317357670515776,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.8749725818634033,1.7749439477920532,1.724918007850647,1.6249607801437378,1.575019359588623,1.524999976158142
0.05,0.00010149872832698748,-0.00045387170393951237,-0.000650212517939508,0.00325352163054049,0.004701259080320597,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.8749734163284302,1.7749522924423218,1.7249308824539185,1.624996542930603,1.5750242471694946,1.524999976158142
0.06666666666666667,0.00016182557737920433,-0.000810846162494272,-0.0001213333016494289,0.003993314225226641,0.004865590017288923,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.874975323677063,1.7749580144882202,1.7249479293823242,1.6250120401382446,1.5750244855880737,1.524999976158142
0.08333333333333333,-6.271406164159998e-05,-0.0007132827304303646,0.0007592589245177805,0.004428872372955084,0.00494477478787303,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.874979019165039,1.774964690208435,1.7249689102172852,1.6250184774398804,1.5750234127044678,1.524999976158142
0.1,-0.00047123394324444234,-0.00019908612011931837,0.001690394477918744,0.004684251733124256,0.004986264742910862,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.8749852180480957,1.774977445602417,1.7249914407730103,1.6250202655792236,1.5750226974487305,1.524999976158142
0.11666666666666667,-0.0008129774942062795,0.0005363273667171597,0.002507604192942381,0.004833695478737354,0.005006618797779083,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.8749855756759644,1.7749905586242676,1.725008249282837,1.625020980834961,1.5750216245651245,1.524999976158142
0.13333333333333333,-0.0009549131500534713,0.0013325054896995425,0.003157678060233593,0.004925916437059641,0.005016769748181105,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.8749850988388062,1.7750025987625122,1.7250171899795532,1.6250193119049072,1.575019359588623,1.524999976158142
0.15,-0.0009027855703607202,0.002104923129081726,0.0036616346333175898,0.004986211191862822,0.005025060847401619,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.8749946355819702,1.7750228643417358,1.7250275611877441,1.6250193119049072,1.575019359588623,1.524999976158142
0.16666666666666666,-0.0006815092056058347,0.0027941155713051558,0.004062110558152199,0.005016579758375883,0.005029680673032999,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.8750072717666626,1.7750462293624878,1.7250394821166992,1.6250226497650146,1.5750226974487305,1.524999976158142
0.18333333333333332,-0.0002841198875103146,0.003333038417622447,0.004383972845971584,0.005018658936023712,0.005022956058382988,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.8750101327896118,1.7750531435012817,1.7250425815582275,1.6250234842300415,1.5750235319137573,1.524999976158142
0.2,0.0002934253716375679,0.0036854639183729887,0.004622899927198887,0.005014333408325911,0.005007733125239611,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.8750028610229492,1.7750427722930908,1.725035548210144,1.625017762184143,1.5750178098678589,1.524999976158142
0.21666666666666667,0.0010175585048273206,0.0038826940581202507,0.004764372017234564,0.005033973604440689,0.005001166369765997,0.004999999422580004,0.0,0.0,0.0,0.0,0.0,0.0,1.8749980926513672,1.775026798248291,1.7250237464904785,1.6250120401382446,1.5750120878219604,1.524999976158142
