t,cap2_x,cap4_x,cap8_x,cap50_x,cap100_x,cap150_x,cap199_x,cap2_y,cap4_y,cap8_y,cap50_y,cap100_y,cap150_y,cap199_y,cap2_z,cap4_z,cap8_z,cap50_z,cap100_z,cap150_z,cap199_z
0.016666666666666666,0.0,0.0,0.0,1.88161864126484e-24,-9.993164282184885e-12,8.319831249536946e-05,0.020006610080599785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9874464273452759,1.9774115085601807,1.957342267036438,1.7468305826187134,1.4961615800857544,1.2441585063934326,1.00007164478302
0.03333333333333333,1.5172078553047098e-18,-5.851978165422244e-18,3.5530146931341314e-17,2.487000050344079e-10,2.2963371520745568e-05,0.0013084125239402056,0.039536572992801666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.987230896949768,1.9770519733428955,1.9566982984542847,1.743643879890442,1.4911149740219116,1.2391407489776611,0.9995191693305969
0.05,-5.270190395201269e-10,-8.390454997453389e-11,1.2967482643233552e-09,5.668006906489609e-06,-0.0003787629248108715,-0.0031716488301753998,0.06084973365068436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9871453046798706,1.9769095182418823,1.9564387798309326,1.741706371307373,1.48673677444458,1.2337441444396973,0.9998683929443359
0.06666666666666667,-2.612777279864531e-06,-3.0808662359049777e-06,5.075466560811037e-06,0.00017154285160358995,-0.0010101126972585917,-0.0005294784787110984,0.0815642923116684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9871268272399902,1.9768785238265991,1.9563831090927124,1.7414335012435913,1.486252784729004,1.2319623231887817,1.0006890296936035
0.08333333333333333,-4.5595741539727896e-05,-7.47808808228001e-05,5.007690560887568e-05,0.00012384136789478362,0.001719572115689516,0.007844170555472374,0.09952928125858307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9871375560760498,1.97689688205719,1.956416130065918,1.7415436506271362,1.486323356628418,1.2328258752822876,1.0035438537597656
0.1,0.00016936208703555167,0.00038296403363347054,0.000293233257252723,0.000959955039434135,-0.001963034737855196,0.02367590181529522,0.11566052585840225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9871670007705688,1.976946473121643,1.9565036296844482,1.7422683238983154,1.4883545637130737,1.2377337217330933,1.0080230236053467
0.11666666666666667,0.0002541851135902107,0.0006705805426463485,0.0010196213843300939,-0.0012964116176590323,-0.0030162499751895666,0.045217227190732956,0.1304938644170761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9872933626174927,1.9771629571914673,1.9568874835968018,1.7442677021026611,1.4914549589157104,1.2453205585479736,1.0135270357131958
0.13333333333333333,2.1854211809113622e-05,4.671054921345785e-05,0.0001033967564580962,0.0018868290353566408,-0.0012244414538145065,0.06735861301422119,0.14369209110736847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9873378276824951,1.977229356765747,1.9570146799087524,1.7451139688491821,1.493181824684143,1.2528975009918213,1.0194278955459595
0.15,4.623551831173245e-06,2.9095099307596684e-05,7.105732220225036e-05,0.0015664781676605344,0.002287360606715083,0.08818752318620682,0.15584203600883484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9873600006103516,1.9772669076919556,1.9570823907852173,1.7455281019210815,1.4943468570709229,1.259641170501709,1.024178385734558
0.16666666666666666,-0.00021854115766473114,-0.000701376935467124,-0.0017454627668485045,-0.0017417548224329948,0.009334361180663109,0.10731687396764755,0.16787675023078918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9873991012573242,1.977341890335083,1.9572323560714722,1.7462067604064941,1.4957010746002197,1.2648472785949707,1.0271252393722534
0.18333333333333332,0.00021270316210575402,0.0006662487867288291,0.0016955496976152062,-0.002171323634684086,0.0209578275680542,0.12480806559324265,0.1797952651977539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9873393774032593,1.9772412776947021,1.957052230834961,1.7452093362808228,1.4965802431106567,1.2680352926254272,1.0288559198379517
0.2,0.00012561325274873525,0.0004071056318935007,0.0010852059349417686,-0.004267803858965635,0.034202929586172104,0.13992615044116974,0.19148190319538116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9872990846633911,1.9771684408187866,1.9569132328033447,1.7445809841156006,1.4972690343856812,1.2690014839172363,1.029455304145813
0.21666666666666667,-0.00016430595132987946,-0.0005156069528311491,-0.0013439328176900744,-0.004107916262000799,0.05052447319030762,0.15192145109176636,0.2029055953025818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9872950315475464,1.9771637916564941,1.9569084644317627,1.7444316148757935,1.500106930732727,1.2695279121398926,1.0286916494369507
0.23333333333333334,-0.00014794082380831242,-0.0004954381729476154,-0.001442814595066011,0.0005273027345538139,0.06686025857925415,0.161045640707016,0.21376600861549377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9873088598251343,1.9771883487701416,1.9569568634033203,1.7447474002838135,1.5020506381988525,1.2681745290756226,1.0277427434921265
0.25,-0.00016445024812128395,-0.0005260424222797155,-0.0014452250907197595,0.006857356522232294,0.08500973135232925,0.16632331907749176,0.22408989071846008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9872641563415527,1.9771132469177246,1.9568206071853638,1.7447154521942139,1.5043632984161377,1.2657959461212158,1.0265614986419678
0.26666666666666666,-0.00010206914885202423,-0.00033009296748787165,-0.0008792193839326501,0.019671505317091942,0.09960124641656876,0.17239375412464142,0.23404985666275024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9872889518737793,1.9771510362625122,1.9568785429000854,1.7459172010421753,1.5060251951217651,1.2643115520477295,1.025072455406189
0.2833333333333333,0.00014341581845656037,0.000501868431456387,0.0016112325247377157,0.03771723061800003,0.11550654470920563,0.174952432513237,0.24232664704322815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9872857332229614,1.977149248123169,1.9568934440612793,1.747577428817749,1.5070124864578247,1.2614256143569946,1.0239113569259644
0.3,0.0006634084857068956,0.002105571096763015,0.005871521774679422,0.05703745037317276,0.12764915823936462,0.1811644434928894,0.25000691413879395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9872386455535889,1.9771534204483032,1.957139253616333,1.749991774559021,1.5073655843734741,1.2598296403884888,1.0231168270111084
0.31666666666666665,0.0012643820373341441,0.0038821680936962366,0.01039157249033451,0.07798629999160767,0.12549102306365967,0.18447500467300415,0.25686392188072205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9872249364852905,1.9773329496383667,1.9579468965530396,1.7544147968292236,1.5061910152435303,1.2597429752349854,1.0228862762451172
0.3333333333333333,0.001930259633809328,0.005516468547284603,0.013393235392868519,0.08692224323749542,0.12160384654998779,0.18854787945747375,0.26252445578575134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9871858358383179,1.9775123596191406,1.9584616422653198,1.7568364143371582,1.5048617124557495,1.2607818841934204,1.0249505043029785
0.35,0.0020570559427142143,0.0061316522769629955,0.015694867819547653,0.08162029087543488,0.117608942091465,0.19949084520339966,0.2668361961841583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9872931241989136,1.97787344455719,1.959747314453125,1.756280541419983,1.5045193433761597,1.2655348777770996,1.0284844636917114
0.36666666666666664,0.0009615302551537752,0.0031250135507434607,0.008878878317773342,0.06883128732442856,0.1140768826007843,0.20053942501544952,0.2712085545063019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9872455596923828,1.9772800207138062,1.9577299356460571,1.7530525922775269,1.5043812990188599,1.268097996711731,1.032789945602417
0.3833333333333333,0.000125811347970739,0.0004603532433975488,0.001537080854177475,0.05295640975236893,0.11262895911931992,0.20054790377616882,0.2726459503173828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.987308144569397,1.9771850109100342,1.9569566249847412,1.7511839866638184,1.505659818649292,1.2704662084579468,1.0357927083969116
0.4,-2.7018804757972248e-05,-8.454747876385227e-05,-0.0001942433591466397,0.03528990224003792,0.11220473796129227,0.19852042198181152,0.27408507466316223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9872485399246216,1.9770811796188354,1.9567490816116333,1.7484923601150513,1.5073033571243286,1.2712808847427368,1.0390456914901733
0.4166666666666667,-4.3668656871886924e-05,-0.00018485701002646238,-0.0006603082292713225,0.01725856028497219,0.10849961638450623,0.1941552609205246,0.2788729965686798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9872130155563354,1.9770233631134033,1.9566508531570435,1.745275855064392,1.5093876123428345,1.2722275257110596,1.0426193475723267
