t,leader_q1_target,leader_ee_x,leader_ee_y,leader_ee_z,follower_ee_x,follower_ee_y,follower_ee_z,mid_x,mid_y,mid_z,cable_span,cable_sag
0.016667,-0.011514,-0.269063,-0.032134,0.842180,0.278213,0.025427,0.844676,0.007596,-0.004841,0.796626,0.550300,-0.046802
0.033333,-0.011514,-0.258045,-0.030631,0.845523,0.275360,0.032437,0.849612,0.014246,-0.000206,0.711061,0.537136,-0.136507
0.050000,-0.011514,-0.254842,-0.023300,0.844983,0.275079,0.028125,0.849745,0.018642,-0.011181,0.798645,0.532432,-0.048718
0.066667,-0.011514,-0.253196,-0.017989,0.844714,0.274287,0.023543,0.849770,0.020328,-0.003674,0.792619,0.529140,-0.054623
0.083333,-0.011514,-0.252273,-0.014167,0.844559,0.273315,0.019677,0.849699,0.017730,-0.001472,0.724926,0.526702,-0.122203
0.100000,-0.011514,-0.251713,-0.011430,0.844462,0.272149,0.016552,0.849541,0.011148,0.013711,0.738370,0.524633,-0.108631
0.116667,-0.011514,-0.251373,-0.009471,0.844397,0.270772,0.014039,0.849304,0.008807,0.014902,0.767918,0.522697,-0.078932
0.133333,-0.011514,-0.251165,-0.008068,0.844348,0.269205,0.012011,0.849004,0.004087,0.001827,0.721922,0.520778,-0.124754
0.150000,-0.011514,-0.251002,-0.007072,0.844330,0.267462,0.010388,0.848645,0.018551,0.013715,0.717512,0.518775,-0.128976
0.166667,-0.011514,-0.250908,-0.006356,0.844302,0.265580,0.009090,0.848239,0.016388,-0.012146,0.751441,0.516734,-0.094830
0.183333,-0.011514,-0.250848,-0.005844,0.844285,0.263612,0.008043,0.847799,0.017463,-0.001848,0.713811,0.514660,-0.132231
0.200000,-0.011514,-0.250792,-0.005482,0.844278,0.261607,0.007195,0.847322,0.005301,-0.008483,0.705837,0.512565,-0.139963
0.216667,-0.011514,-0.250765,-0.005223,0.844266,0.259596,0.006532,0.846825,0.006959,0.004727,0.731642,0.510503,-0.113903
0.233333,-0.011514,-0.250775,-0.005035,0.844241,0.257619,0.005995,0.846326,0.009933,0.004022,0.699799,0.508518,-0.145484
0.250000,-0.011514,-0.250768,-0.004903,0.844232,0.255696,0.005567,0.845841,0.009415,0.004945,0.700428,0.506575,-0.144608
0.266667,-0.011514,-0.250788,-0.004806,0.844208,0.253870,0.005232,0.845373,0.008193,0.014705,0.714836,0.504759,-0.129955
0.283333,-0.011514,-0.250776,-0.004740,0.844211,0.252171,0.004963,0.844933,0.003217,0.003669,0.696249,0.503041,-0.148323
0.300000,-0.011514,-0.250780,-0.004691,0.844203,0.250614,0.004750,0.844524,0.005010,0.004376,0.704054,0.501483,-0.140310
0.316667,-0.011514,-0.250772,-0.004657,0.844205,0.249219,0.004575,0.844155,0.003153,-0.012958,0.706819,0.500076,-0.137361
0.333333,-0.011514,-0.250772,-0.004632,0.844203,0.247998,0.004441,0.843829,0.005960,-0.004517,0.694409,0.498853,-0.149607
0.350000,-0.011514,-0.250768,-0.004615,0.844202,0.246955,0.004332,0.843549,0.002729,-0.007693,0.705415,0.497804,-0.138460
0.366667,-0.011514,-0.250766,-0.004603,0.844203,0.246095,0.004244,0.843320,0.001532,0.005290,0.697659,0.496940,-0.146102
0.383333,-0.011514,-0.250766,-0.004594,0.844202,0.245414,0.004171,0.843138,0.000441,0.008203,0.694786,0.496258,-0.148884
0.400000,-0.011514,-0.250765,-0.004587,0.844202,0.244905,0.004117,0.843005,0.003147,0.008233,0.701549,0.495748,-0.142054
0.416667,-0.011514,-0.250764,-0.004583,0.844202,0.244563,0.004072,0.842918,0.004164,0.005618,0.693886,0.495404,-0.149673
0.433333,-0.011514,-0.250763,-0.004579,0.844201,0.244374,0.004030,0.842875,0.002358,-0.003233,0.696596,0.495213,-0.146942
0.450000,-0.011514,-0.250763,-0.004577,0.844201,0.244326,0.003992,0.842871,0.000014,-0.004269,0.696713,0.495165,-0.146823
0.466667,-0.011514,-0.250762,-0.004577,0.844202,0.244403,0.003962,0.842903,-0.000965,-0.009389,0.694778,0.495240,-0.148774
0.483333,-0.011514,-0.250762,-0.004575,0.844202,0.244589,0.003935,0.842966,0.001721,-0.003921,0.698545,0.495426,-0.145039
0.500000,-0.011514,-0.250761,-0.004574,0.844203,0.244869,0.003908,0.843055,0.002167,-0.003552,0.695848,0.495704,-0.147781
0.516667,-0.011514,-0.250763,-0.004572,0.844201,0.245225,0.003884,0.843166,0.002273,0.004345,0.696524,0.496061,-0.147160
0.533333,-0.011514,-0.250763,-0.004572,0.844201,0.245641,0.003865,0.843294,0.001620,0.005605,0.699004,0.496476,-0.144744
0.550000,-0.011514,-0.250763,-0.004572,0.844201,0.246101,0.003848,0.843433,0.002403,0.005806,0.696678,0.496936,-0.147139
0.566667,-0.011514,-0.250763,-0.004572,0.844201,0.246589,0.003829,0.843579,0.003350,0.001008,0.698877,0.497423,-0.145013
0.583333,-0.011514,-0.250763,-0.004571,0.844201,0.247092,0.003811,0.843729,0.003665,-0.003091,0.696756,0.497926,-0.147209
0.600000,-0.011514,-0.250762,-0.004572,0.844201,0.247596,0.003796,0.843879,0.003286,-0.006496,0.699171,0.498429,-0.144869
0.616667,-0.011514,-0.250763,-0.004572,0.844201,0.248091,0.003781,0.844025,0.002852,-0.006716,0.700165,0.498924,-0.143949
0.633333,-0.011514,-0.250763,-0.004571,0.844201,0.248565,0.003765,0.844166,0.003613,-0.002212,0.699278,0.499397,-0.144905
0.650000,-0.011514,-0.250762,-0.004571,0.844201,0.249011,0.003753,0.844298,0.004281,0.000446,0.699842,0.499843,-0.144407
0.666667,-0.011514,-0.250762,-0.004572,0.844202,0.249422,0.003744,0.844419,0.004923,0.004277,0.699666,0.500253,-0.144645
0.683333,-0.011514,-0.250763,-0.004571,0.844201,0.249792,0.003735,0.844529,0.004471,0.002203,0.701248,0.500623,-0.143117
0.700000,-0.011514,-0.250762,-0.004571,0.844201,0.250116,0.003727,0.844627,0.005372,0.002127,0.700519,0.500947,-0.143895
0.716667,-0.011514,-0.250761,-0.004572,0.844202,0.250394,0.003720,0.844712,0.005734,-0.003479,0.699888,0.501224,-0.144569
0.733333,-0.011514,-0.250762,-0.004571,0.844201,0.250624,0.003715,0.844783,0.005829,-0.004426,0.701201,0.501455,-0.143291
0.750000,-0.011514,-0.250762,-0.004571,0.844201,0.250806,0.003709,0.844840,0.005009,-0.006334,0.701789,0.501636,-0.142731
0.766667,-0.011514,-0.250763,-0.004571,0.844201,0.250940,0.003705,0.844885,0.005227,-0.002377,0.700840,0.501771,-0.143703
0.783333,-0.011514,-0.250762,-0.004572,0.844201,0.251029,0.003702,0.844918,0.005300,-0.001358,0.700767,0.501860,-0.143793
0.800000,-0.011514,-0.250762,-0.004571,0.844201,0.251076,0.003702,0.844939,0.005735,0.002367,0.702035,0.501906,-0.142535
0.816667,-0.011514,-0.250762,-0.004571,0.844201,0.251083,0.003701,0.844950,0.005481,0.001500,0.701704,0.501914,-0.142872
0.833333,-0.011514,-0.250762,-0.004571,0.844201,0.251056,0.003702,0.844951,0.005404,0.000724,0.700847,0.501887,-0.143729
0.850000,-0.011514,-0.250762,-0.004571,0.844201,0.250998,0.003703,0.844943,0.005380,-0.002784,0.700755,0.501829,-0.143818
